,startstationlatitude,startstationlongitude,startstationname,startstationid
441,40.7894854155321,-73.9524292945862,Madison Ave & E 99 St,3345
442,40.71269042,-73.98776323,Madison St & Clinton St,340
443,40.713126,-73.984844,Madison St & Montgomery St,291
444,40.70706456,-74.00731853,Maiden Ln & Pearl St,264
445,40.682601,-73.938037,Marcus Garvey Blvd & Macon St,3046
446,40.6900815,-73.947915,Marcy Ave & Lafayette Ave,3053
447,40.6806176845545,-73.9462494850159,Marcy Ave & MacDonough St,3229
448,40.71076228,-73.99400398,Market St & Cherry St,408
449,40.7253399253558,-74.0676221251488,McGinley Square,3194
450,40.73555,-73.95284,McGuinness Blvd & Eagle St,3118
451,40.70510918,-73.94407279,McKibbin St & Manhattan Ave,3070
452,40.7270636334831,-73.9966213703155,Mercer St & Bleecker St,3260
453,40.72679454,-73.99695094,Mercer St & Bleecker St S,375
454,40.72362738,-73.99949601,Mercer St & Spring St,303
455,40.72708584,-73.95299117,Meserole Ave & Manhattan Ave,3110
456,40.71534825,-73.96024116,Metropolitan Ave & Bedford Ave,539
457,40.71413311,-73.95234386,Metropolitan Ave & Meeker Ave,3087
